Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
3,4,1,4086.29,4016.0,1.7201422317065105,short,signal,244,17150.75999999999,1017150.76,0.0,0.0
16,17,1,4472.14,4509.08,0.8260027637775114,long,signal,227,8385.37999999991,1025536.14,0.0,0.0
18,19,1,4100.11,4366.47,-6.496411071898085,short,signal,250,-66590.00000000015,958946.1399999999,6.944081343296311,6.4931890162349735
24,25,1,4130.37,4208.47,-1.8908717620939617,short,signal,232,-18119.200000000084,940826.9399999998,1.9258802261763543,1.8894908946606817
28,29,1,3189.02,3700.0,-16.023104276548906,short,nextday,295,-150739.1,790087.8399999999,19.078777367336777,16.02197955768571
43,44,1,4174.69,4378.51,4.882278684165786,long,Max Drawdown Limit,189,38521.98000000012,828609.82,0.0,0.0
45,46,1,4378.48,4380.0,0.03471524364620683,long,Max Drawdown Limit,189,287.2800000000825,828897.1,0.0,0.0
56,57,1,5430.0,5649.98,4.05119705340699,long,Max Drawdown Limit,152,33436.959999999934,862334.0599999999,0.0,0.0
58,59,1,5869.99,5709.99,-2.725728663932988,long,Max Drawdown Limit,146,-23360.0,838974.0599999999,2.784353070463228,2.7089269789482744
60,61,1,5760.02,5595.0,-2.8649206079145633,long,Max Drawdown Limit,145,-23927.900000000063,815046.1599999999,2.935772373922972,2.8520428867610073
62,63,1,5512.06,5683.9,3.117527748246558,long,Max Drawdown Limit,147,25260.479999999887,840306.6399999998,0.0,0.0
64,65,1,6010.01,6024.97,0.2489180550448341,long,Max Drawdown Limit,139,2079.440000000005,842386.0799999998,0.0,0.0
66,67,1,5950.02,5915.93,-0.57293925062437,long,Max Drawdown Limit,141,-4806.6900000000205,837579.3899999998,0.5738787340505193,0.5706041581313952
75,76,1,6463.0,6753.98,4.502243540151626,long,Max Drawdown Limit,129,37536.41999999994,875115.8099999997,0.0,0.0
77,78,1,7019.98,7115.04,1.3541349120652824,long,Max Drawdown Limit,124,11787.44000000005,886903.2499999998,0.0,0.0
79,80,1,7357.09,7345.01,-0.1641953544132249,long,Max Drawdown Limit,120,-1449.5999999999913,885453.6499999998,0.16371269122895107,0.16344511083931387
81,82,1,6960.12,7064.04,1.4930777055568019,long,Max Drawdown Limit,127,13197.84000000001,898651.4899999998,0.0,0.0
83,84,1,7303.0,7079.99,-3.0536765712720833,long,signal,123,-27430.230000000025,871221.2599999998,3.1484803297844213,3.052376845221721
87,88,1,5811.03,6465.99,11.270979499331444,long,take_profit,149,97589.04000000001,968810.2999999998,0.0,0.0
90,91,1,7240.06,7864.5,8.624790402289479,long,ID,133,83050.51999999995,1051860.8199999998,0.0,0.0
92,93,1,7699.19,7761.94,0.8150208008894443,long,signal,136,8534.0,1060394.8199999998,0.0,0.0
94,95,1,8038.0,8212.0,2.164717591440657,long,signal,131,22794.0,1083188.8199999998,0.0,0.0
96,97,1,8119.51,8205.92,1.0642267821580347,long,signal,133,11492.52999999998,1094681.3499999999,0.0,0.0
98,99,1,8019.99,8138.0,1.471448218763368,long,signal,136,16049.36000000003,1110730.71,0.0,0.0
100,101,1,8700.01,9128.02,4.919649517644235,long,signal,127,54357.270000000026,1165087.98,0.0,0.0
102,103,1,9650.0,9896.8,2.5575129533678678,long,signal,120,29615.999999999913,1194703.98,0.0,0.0
104,105,1,9687.88,9838.96,1.5594743122334291,long,ID,123,18582.83999999999,1213286.8199999998,0.0,0.0
106,107,1,10782.99,10890.01,0.9924890962525277,long,signal,112,11986.240000000049,1225273.06,0.0,0.0
108,109,1,11165.41,11579.0,3.7042079063823015,long,signal,109,45081.31000000001,1270354.37,0.0,0.0
110,111,1,11699.99,13550.05,15.812492147429182,long,take_profit,108,199806.47999999995,1470160.85,0.0,0.0
112,113,1,16599.0,15880.0,-4.331586240134948,long,ID,88,-63272.0,1406888.85,4.497299129209816,4.303746763491899
114,115,1,14656.07,14899.98,1.6642251299291002,long,ID,95,23171.449999999986,1430060.3,0.0,0.0
116,117,1,16587.97,16349.99,-1.4346541499653145,long,signal,86,-20466.28000000012,1409594.0199999998,1.4519272719389278,1.4311480431979169
118,119,1,16033.29,16334.98,1.8816474971761796,long,signal,87,26247.029999999886,1435841.0499999998,0.0,0.0
120,121,1,17539.83,19102.66,8.910177578688037,long,ID,81,126589.22999999985,1562430.2799999996,0.0,0.0
122,123,1,18860.02,18856.25,-0.01998937434849187,long,ID,82,-309.1400000000358,1562121.1399999994,0.019789758430650933,0.019785842860145442
124,125,1,17295.2,16488.98,-4.66152458485592,long,ID,90,-72559.8000000001,1489561.3399999994,4.871219334948642,4.6449534637243355
126,127,1,15492.64,13326.61,-13.981025829038815,long,ID,96,-207938.8799999999,1281622.4599999995,16.224659483573657,13.959739314931467
