Entry Index,Exit Index,Trade Duration,Entry Price,Exit Price,Returns for Trade in %,Type of Trade,Trade Close By,No. of Stocks Traded,Profit/Loss,Capital,Max Drawdown for Trade,Max Dip for Trade
2,3,1,7344.96,7354.11,0.12457521892562569,long,signal,136,1244.3999999999505,1001244.3999999999,0.0,0.0
4,5,1,7358.75,7758.0,5.42551384406319,long,signal,136,54298.0,1055542.4,0.0,0.0
13,14,1,8810.01,8821.41,0.12939826402012752,long,signal,119,1356.5999999999567,1056899.0,0.0,0.0
20,21,1,8736.03,8682.36,-0.61435228587814,long,signal,120,-6440.400000000009,1050458.6,0.6131036482541916,0.6093675933083396
37,38,1,9813.73,9895.05,0.8286349838440603,long,signal,107,8701.239999999969,1059159.84,0.0,0.0
40,41,1,9851.83,10223.08,3.768335426007148,long,signal,107,39723.75,1098883.59,0.0,0.0
43,44,1,10229.63,10344.36,1.121545940566779,long,signal,107,12276.110000000148,1111159.7000000002,0.0,0.0
46,47,1,9917.27,9706.0,-2.130324171873917,long,signal,112,-23662.24000000005,1087497.4600000002,2.175843242889044,2.1295084765943173
48,49,1,10164.71,9593.79,-5.616687539536281,long,signal,106,-60517.519999999815,1026979.9400000003,5.892765539315197,5.564842422712407
51,52,1,9677.05,9650.86,-0.2706403294392268,long,signal,106,-2776.139999999861,1024203.8000000004,0.27105347588047385,0.2703207620588866
55,56,1,9315.84,8785.25,5.695567978840342,short,signal,109,57834.31000000001,1082038.1100000003,0.0,0.0
58,59,1,8692.91,8523.61,1.9475641643592223,short,signal,124,20993.19999999991,1103031.3100000003,0.0,0.0
66,67,1,8886.66,8033.31,9.602595350784203,short,ID,124,105815.39999999994,1208846.7100000002,0.0,0.0
68,69,1,7929.87,7894.56,0.445278421966558,short,signal,152,5367.119999999923,1214213.83,0.0,0.0
70,71,1,7934.52,4800.0,39.50484717412018,short,trailing_take_profit,153,479581.56000000006,1693795.3900000001,0.0,0.0
72,73,1,5578.6,5172.06,7.287491485318896,short,ID,303,123181.62,1816977.0100000002,0.0,0.0
74,75,1,5361.3,5028.97,-6.198683155204892,long,ID,338,-112327.53999999998,1704649.4700000002,6.5894802407676245,6.182111242012909
76,77,1,5312.64,5393.04,-1.513371882905667,short,signal,320,-25727.999999999884,1678921.4700000002,1.532412352794559,1.509283899874148
89,90,1,6394.38,6410.44,0.25115804816103343,long,signal,262,4207.719999999867,1683129.19,0.0,0.0
92,93,1,6794.09,6734.1,-0.882973290021177,long,signal,247,-14817.529999999946,1668311.6600000001,0.8881751746553035,0.8803560705877721
106,107,1,7101.94,7027.55,-1.0474602714187873,long,signal,234,-17407.259999999864,1650904.4000000001,1.0544075114222247,1.0434057626858526
108,109,1,7248.6,7120.74,-1.763926827249408,long,signal,227,-29024.220000000132,1621880.18,1.7895415677377724,1.75807999542555
110,111,1,6826.83,6841.37,0.21298318546089423,long,signal,237,3445.9799999999914,1625326.16,0.0,0.0
112,113,1,7125.14,7482.39,5.013936568263921,long,signal,228,81453.0,1706779.16,0.0,0.0
119,120,1,8778.57,8620.0,-1.806330643829231,long,signal,194,-30762.579999999944,1676016.58,1.835457976197338,1.8023761199427724
121,122,1,8826.96,8972.05,1.643714257230124,long,signal,189,27422.010000000028,1703438.59,0.0,0.0
123,124,1,8894.16,8871.96,-0.24960198602229697,long,signal,191,-4240.200000000139,1699198.39,0.24954119689344728,0.2489200388491954
126,127,1,9142.92,9986.4,9.225499074693856,long,ID,185,156043.79999999993,1855242.19,0.0,0.0
128,129,1,9800.01,9539.4,-2.6592830007316377,long,signal,189,-49255.29000000011,1805986.8999999997,2.727333736473962,2.6549250693786925
130,131,1,8722.77,8561.52,-1.848610017230765,long,signal,207,-33378.75,1772608.1499999997,1.8830303809671645,1.8482276920170355
133,134,1,9309.37,9791.98,5.184131686676958,long,signal,190,91695.89999999976,1864304.0499999996,0.0,0.0
141,142,1,9068.65,9170.0,1.1175864103256865,long,signal,205,20776.750000000073,1885080.7999999996,0.0,0.0
152,153,1,10200.77,9518.04,-6.692926122243708,long,nextday,184,-125622.31999999992,1759458.4799999995,7.139828613631173,6.664028406633822
154,155,1,9666.24,9789.06,1.2706078061376473,long,signal,182,22353.239999999947,1781811.7199999995,0.0,0.0
162,163,1,9280.4,9465.13,1.9905392008965084,long,signal,191,35283.42999999992,1817095.1499999994,0.0,0.0
165,166,1,9342.1,9426.02,0.8982990976332952,long,signal,194,16280.480000000014,1833375.6299999994,0.0,0.0
168,169,1,9465.14,9386.32,-0.8327399277770822,long,signal,193,-15212.259999999944,1818163.3699999996,0.8366827894019105,0.8297404934961299
173,174,1,9685.69,9624.89,-0.6277301875240803,long,signal,187,-11369.600000000204,1806793.7699999996,0.6292693825261583,0.6253343449549363
187,188,1,9344.2,9257.39,0.9290254917489064,short,signal,193,16754.330000000253,1823548.0999999999,0.0,0.0
198,199,1,9154.32,9170.28,-0.1743439163149305,short,signal,199,-3176.0400000001882,1820372.0599999996,0.17447202524083294,0.17416815054125911
202,203,1,9390.0,9518.16,1.3648562300319473,long,signal,193,24734.879999999972,1845106.9399999995,0.0,0.0
204,205,1,9603.27,9537.8,-0.6817469466129887,long,signal,192,-12570.240000000224,1832536.6999999993,0.6859475174494584,0.681274333074712
206,207,1,9700.42,9931.54,2.382577249232516,long,signal,188,43450.56000000015,1875987.2599999995,0.0,0.0
208,209,1,11029.96,10906.27,-1.1214002589311176,long,signal,170,-21027.299999999777,1854959.9599999997,1.133571637848173,1.1208658208051914
210,211,1,11100.53,11099.61,-0.008287892560085624,long,signal,167,-153.64000000001215,1854806.3199999998,0.008283344645919557,0.008282658564764792
212,213,1,11335.46,11801.17,4.108434946618849,long,signal,163,75910.73000000016,1930717.05,0.0,0.0
214,215,1,11071.35,11219.81,1.3409385485961434,long,signal,174,25832.039999999848,1956549.0899999999,0.0,0.0
216,217,1,11191.97,11744.91,4.940506452393998,long,signal,174,96211.56000000008,2052760.6500000001,0.0,0.0
218,219,1,11762.46,11594.23,-1.4302280305310249,long,signal,174,-29272.019999999924,2023488.6300000004,1.4466115384102645,1.425983102316375
220,221,1,11761.41,11681.68,-0.6778949122596659,long,signal,172,-13713.559999999925,2009775.0700000003,0.682343024585336,0.6777186585921193
222,223,1,11892.92,11392.08,-4.211245009635986,long,signal,168,-84141.12000000002,1925633.9500000002,4.369528279245394,4.186593875900754
229,230,1,12281.13,11945.01,-2.7368817038822892,long,signal,156,-52434.71999999984,1873199.2300000004,2.7992067880574414,2.7229848123523026
231,232,1,11754.59,11853.55,0.8418838938661334,long,signal,159,15734.639999999861,1888933.8700000003,0.0,0.0
246,247,1,10140.85,10446.25,-3.011581869369921,short,signal,186,-56804.399999999936,1832129.4700000004,3.100457742214031,3.0072201521803352
248,249,1,10166.69,10256.2,-0.8804242088624736,short,signal,180,-16111.80000000004,1816017.6700000004,0.8872050237264509,0.8794029168691906
264,265,1,10417.22,10529.61,-1.0788866895390636,short,signal,174,-19555.860000000215,1796461.8100000003,1.0885764390393637,1.0768540594651868
270,271,1,10774.25,10696.12,-0.7251548831705149,long,signal,166,-12969.579999999867,1783492.2300000004,0.7272013739022478,0.7219513338833426
274,275,1,10619.13,10570.4,0.45888881669213544,short,Max Drawdown Limit,167,8137.909999999927,1791630.1400000004,0.0,0.0
276,277,1,10542.06,10666.63,-1.1816476096702135,short,signal,169,-21052.32999999995,1770577.8100000005,1.18900902751062,1.175037722908582
282,283,1,11050.64,11293.22,2.1951669767542867,long,Max Drawdown Limit,160,38812.79999999999,1809390.6100000006,0.0,0.0
285,286,1,11528.25,11420.56,-0.9341400472751763,long,signal,156,-16799.64000000008,1792590.9700000004,0.9371708482945291,0.9284695027791775
287,288,1,11417.89,11505.12,0.7639765315658268,long,signal,156,13607.880000000216,1806198.8500000008,0.0,0.0
289,290,1,11319.32,11360.2,0.3611524367188225,long,signal,159,6499.920000000162,1812698.770000001,0.0,0.0
291,292,1,11503.14,11751.47,2.158801857579756,long,signal,157,38987.80999999999,1851686.5800000008,0.0,0.0
293,294,1,11909.99,12780.96,7.312936450828249,long,signal,155,135000.3499999999,1986686.9300000006,0.0,0.0
295,296,1,12968.52,12923.07,-0.35046404678406423,long,signal,153,-6953.850000000111,1979733.0800000005,0.3512518970486714,0.35002243660001786
297,298,1,13111.73,13028.83,-0.6322582908586406,long,signal,150,-12434.999999999945,1967298.0800000005,0.6320851998188295,0.6281149780050145
299,300,1,13052.19,13636.17,4.4741916873720005,long,signal,150,87596.99999999994,2054895.0800000005,0.0,0.0
301,302,1,13266.4,13455.7,1.4269131037809888,long,signal,154,29152.200000000168,2084047.2800000007,0.0,0.0
303,304,1,13560.1,13791.0,1.7027898024350827,long,signal,153,35327.699999999946,2119374.9800000004,0.0,0.0
305,306,1,13761.5,13549.37,-1.5414744032263865,long,signal,154,-32668.019999999877,2086706.9600000007,1.5655298336667154,1.5413987759730832
307,308,1,14023.53,14144.01,0.8591274807412939,long,signal,148,17831.039999999935,2104538.0000000005,0.0,0.0
309,310,1,15590.02,15579.92,-0.06478503555479957,long,signal,134,-1353.4000000000487,2103184.6000000006,0.06435003375357097,0.06430865111487208
311,312,1,14818.3,15475.1,4.432357287948017,long,signal,141,92608.80000000015,2195793.400000001,0.0,0.0
313,314,1,15328.41,15297.21,-0.20354361606977323,long,signal,143,-4461.600000000104,2191331.8000000007,0.20360221122150884,0.20318851491219944
315,316,1,15684.24,16291.86,3.874079968171877,long,signal,139,84459.18000000011,2275790.980000001,0.0,0.0
320,321,1,16713.57,17659.38,5.658934626175026,long,signal,136,128630.16000000018,2404421.140000001,0.0,0.0
322,323,1,17776.12,17802.82,0.1502015062904657,long,signal,135,3604.500000000098,2408025.6400000015,0.0,0.0
324,325,1,18655.67,18703.8,0.2579912702143693,long,signal,129,6208.770000000131,2414234.4100000015,0.0,0.0
328,329,1,19160.01,18719.11,-2.3011470244535253,long,signal,126,-55553.399999999725,2358681.0100000016,2.355273975771733,2.3010773009402956
330,331,1,17149.47,17139.52,-0.058019285727201636,long,signal,137,-1363.1500000000997,2357317.8600000017,0.057826312824860455,0.05779289332557546
332,333,1,17719.85,18184.99,2.6249657869564533,long,signal,133,61863.6200000004,2419181.4800000023,0.0,0.0
